id;dutch_name;formula;hardness_min;hardness_max;crystal_system;nickel_struntz_level_four;mindat_url;nickel_strunz_level_three_id
1;Investment Account CFP Franc deposit;indigo Forks Tasty;35850;9754;hacking ivory;Louisiana;emulation orchestration Handcrafted Soft Pizza;1
2;Rustic;Incredible PCI;75525;45542;matrix Sports;Borders;transitional;2
3;Alabama Incredible Organized;Berkshire;77420;23609;e-markets Well;Program Ball Tactics;Rustic Fresh Chair Checking Account primary;3
4;Azerbaijan;Congo;16405;69439;compress compressing static;invoice;portals Cotton;4
5;alarm;Re-engineered;18126;8672;British Indian Ocean Territory (Chagos Archipelago) Jewelery;Officer;cross-media;5
6;matrix Illinois;payment Personal Loan Account;49599;85245;schemas;optimal;Tuna mobile models;6
7;Bedfordshire Skyway e-commerce;bandwidth cross-platform;1363;37851;Awesome;Cheese;blue;7
8;Markets Solutions;Avon indexing;68718;71450;intangible;Monitored Delaware Nebraska;Enterprise-wide Gloves;8
9;invoice Adaptive Refined;Incredible Plastic Salad connect Digitized;86927;29805;SSL demand-driven Analyst;brand Handmade Metal Shoes RSS;program;9
10;Oklahoma Automotive digital;AI Credit Card Account;61892;25218;Manager Centralized;Kroon Mauritius Rupee;Ergonomic time-frame Steel;10
